*******************************************************************************
Database: 11702002
Sequence: CG5-1702-002
File size: 179712
Database effective from 02 FEB 2017 to 02 MAR 2017
Report compiled on Monday Dec 25 2023
OneNav+ Version: 1.18.0
*******************************************************************************
HONEYWELL PROPRIETARY AND CONFIDENTIAL
COPYRIGHT © 2011-2023
HONEYWELL INTERNATIONAL INC.
UNPUBLISHED WORK. ALL RIGHTS RESERVED 
*******************************************************************************
Summary
-------------------------
Table Name,Record Count
Airports,97
Airways,2135
Airway Legs,17205
Alternates,0
Company Routes,0
Company Route Legs,0
FuelPolicy,8
Airline Policy,0
HoldingPatterns,0
Gates,0
GridMORA,0
Navaids,1131
NDBs,264
Procedures ,5146
Procedure Legs,21583
Runways,286
Waypoints,9082

Airports
-------------------------
Ident,RevCode,Latitude,Longitude,MagVar,Elevation,SpeedLimitCoded,SpeedLimit,SpeedLimitAltitude,TransAltitude,ProceduresExist,RunwaysExist,GatesExist,AlternatesExist,ICAO,MaxRunwayLength,SIDs,STARs,Approaches,EOSIDs
UAAA,PIGA2C,B, ,STARCR,23B,7000,LEGLA,WPT, ,TF, , ,,,5180,,,,, , ,,,,,N43-28-25.53,E077-16-54.33,,,,,PIGA2C,,,
UAAA,RISA4C,B, ,STARCR,23B,7000,RISAD,WPT, ,IF, , ,,,,,,,, , ,,,,,N44-13-24.02,E076-13-11.96,,,,,RISA4C,,,
UAAA,RISA4C,B, ,STARCR,23B,7000,ADABA,WPT, ,TF, , ,,,FL080A,,,,, , ,,,,,N43-58-19.99,E076-20-09.02,,,,,RISA4C,,,
UAAA,RISA4C,B, ,STARCR,23B,7000,OGIRU,WPT, ,TF, , ,,,,,,,, , ,,,,,N43-33-35.99,E076-51-19.04,,,,,RISA4C,,,
UAAA,RISA4C,B, ,STARCR,23B,7000,OKRAT,WPT, ,TF, , ,,,FL070 ,,,,, , ,,,,,N43-30-33.99,E076-55-05.99,,,,,RISA4C,,,
UAAA,RISA4C,B, ,STARCR,23B,7000,DM10A,WPT, ,TF, , ,,,5180,,,,, , ,,,,,N43-31-55.49,E077-09-49.01,,,,,RISA4C,,,
UAAA,RISA4L,B, ,STARCR,23B,7000,RISAD,WPT, ,IF, , ,,,,,,,, , ,,,,,N44-13-24.02,E076-13-11.96,,,,,RISA4L,,,
UAAA,RISA4L,B, ,STARCR,23B,7000,ADABA,WPT, ,TF, , ,,,,,,,, , ,,,,,N43-58-19.99,E076-20-09.02,,,,,RISA4L,,,
UAAA,RISA4L,B, ,STARCR,23B,7000,OGIRU,WPT, ,TF, , ,,,,,,,, , ,,,,,N43-33-35.99,E076-51-19.04,,,,,RISA4L,,,
UAAA,RISA4L,B, ,STARCR,23B,7000,ATA,VOR, ,TF, , ,,,,,,,, , ,,,,,N43-22-35.52,E077-05-02.80,,,,,RISA4L,,,
UAAA,TIPS4C,B, ,STARCR,23B,7000,TIPSA,WPT, ,IF, , ,,,,,,,, , ,,,,,N43-38-08.98,E075-31-48.99,,,,,TIPS4C,,,
UAAA,TIPS4C,B, ,STARCR,23B,7000,USUGA,WPT, ,TF, , ,,,FL120A,,,,, , ,,,,,N43-36-00.00,E076-19-34.03,,,,,TIPS4C,,,
UAAA,TIPS4C,B, ,STARCR,23B,7000,OKRAT,WPT, ,TF, , ,,,FL070 ,,,,, , ,,,,,N43-30-33.99,E076-55-05.99,,,,,TIPS4C,,,
UAAA,TIPS4C,B, ,STARCR,23B,7000,DM10A,WPT, ,TF, , ,,,5180,,,,, , ,,,,,N43-31-55.49,E077-09-49.01,,,,,TIPS4C,,,
UAAA,TIPS4L,B, ,STARCR,23B,7000,TIPSA,WPT, ,IF, , ,,,,,,,, , ,,,,,N43-38-08.98,E075-31-48.99,,,,,TIPS4L,,,
UAAA,TIPS4L,B, ,STARCR,23B,7000,USUGA,WPT, ,TF, , ,,,,,,,, , ,,,,,N43-36-00.00,E076-19-34.03,,,,,TIPS4L,,,
UAAA,TIPS4L,B, ,STARCR,23B,7000,ATA,VOR, ,TF, , ,,,,,,,, , ,,,,,N43-22-35.52,E077-05-02.80,,,,,TIPS4L,,,
UAAA,TUKT4C,B, ,STARCR,23B,7000,TUKTO,WPT, ,IF, , ,,,,,,,, , ,,,,,N44-11-36.03,E076-08-30.01,,,,,TUKT4C,,,
UAAA,TUKT4C,B, ,STARCR,23B,7000,ADABA,WPT, ,TF, , ,,,FL080A,,,,, , ,,,,,N43-58-19.99,E076-20-09.02,,,,,TUKT4C,,,
UAAA,TUKT4C,B, ,STARCR,23B,7000,OGIRU,WPT, ,TF, , ,,,,,,,, , ,,,,,N43-33-35.99,E076-51-19.04,,,,,TUKT4C,,,
UAAA,TUKT4C,B, ,STARCR,23B,7000,OKRAT,WPT, ,TF, , ,,,FL070 ,,,,, , ,,,,,N43-30-33.99,E076-55-05.99,,,,,TUKT4C,,,
UAAA,TUKT4C,B, ,STARCR,23B,7000,DM10A,WPT, ,TF, , ,,,5180,,,,, , ,,,,,N43-31-55.49,E077-09-49.01,,,,,TUKT4C,,,
UAAA,TUKT4L,B, ,STARCR,23B,7000,TUKTO,WPT, ,IF, , ,,,,,,,, , ,,,,,N44-11-36.03,E076-08-30.01,,,,,TUKT4L,,,
UAAA,TUKT4L,B, ,STARCR,23B,7000,ADABA,WPT, ,TF, , ,,,,,,,, , ,,,,,N43-58-19.99,E076-20-09.02,,,,,TUKT4L,,,
UAAA,TUKT4L,B, ,STARCR,23B,7000,OGIRU,WPT, ,TF, , ,,,,,,,, , ,,,,,N43-33-35.99,E076-51-19.04,,,,,TUKT4L,,,
UAAA,TUKT4L,B, ,STARCR,23B,7000,ATA,VOR, ,TF, , ,,,,,,,, , ,,,,,N43-22-35.52,E077-05-02.80,,,,,TUKT4L,,,
UAAA,ILS05L,B, ,APP,05L,7000,GOSLU,WPT, ,IF, , ,,,5180,,,,, , ,,,,,N43-14-13.10,E076-48-29.79,,,,,ILS05L,,,
UAAA,ILS05L,B, ,APP,05L,7000,LIKRU,WPT, ,CF, , ,50.98,,4190,,4190,5.20,,IMA,,-2.99,,,,N43-17-31.01,E076-54-48.99,N43-22-23.63,E077-04-38.78,109.10,E05.0,ILS05L,,,
UAAA,ILS05L,B, ,APP,05L,7000,RW05L,RWY, ,CF,Y,Y,50.98,,2280,,,5.90,,IMA,,-2.99,,,,N43-20-50.47,E077-01-30.68,N43-22-23.63,E077-04-38.78,109.10,E05.0,ILS05L,,,
UAAA,ILS05L,B, ,APP,05L,7000,ATA,VOR, ,CF, , ,50.98,,2630A,,,0.50,,ATA,,,,,,N43-22-35.52,E077-05-02.80,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS05L,,,
UAAA,ILS05L,B, ,APP,05L,7000,----, , ,CA, , ,50.98,,3210A,,,,, , ,,,,,,,,,,,ILS05L,,,
UAAA,ILS05L,B, ,APP,05L,7000,----, ,L,VM, , ,248.99,,5180,,,,, , ,,243,,,,,,,,,ILS05L,,,
UAAA,ATA,B, ,APPTRN,05L,7000,ATA,VOR, ,IF, , ,,,FL100 ,,,,, , ,,,,,N43-22-35.52,E077-05-02.80,,,,,ILS05L,,,
UAAA,ATA,B, ,APPTRN,05L,7000,D253N,WPT, ,TF, , ,,,5180,,,,, , ,,,,,N43-19-51.99,E076-47-45.99,,,,,ILS05L,,,
UAAA,ATA,B, ,APPTRN,05L,7000,----, , ,CI, , ,253.04,,,,,,, , ,,,,,,,,,,,ILS05L,,,
UAAA,ATA,B, ,APPTRN,05L,7000,D239O,WPT,L,AF, , ,253.04,,,,,,,ATA,,,,,,N43-16-04.03,E076-47-01.72,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS05L,,,
UAAA,ATA,B, ,APPTRN,05L,7000,----, , ,CI, , ,81.04,,,,,,,IMA,,,,,,,,N43-22-23.63,E077-04-38.78,109.10,E05.0,ILS05L,,,
UAAA,DME17,B, ,APPTRN,05L,7000,DME17,WPT, ,IF, , ,,,FL070 ,,,,, , ,,,,,N43-22-46.26,E076-41-12.64,,,,,ILS05L,,,
UAAA,DME17,B, ,APPTRN,05L,7000,----, , ,CI, , ,85.96,,,,,,, , ,,,,,,,,,,,ILS05L,,,
UAAA,DME17,B, ,APPTRN,05L,7000,D239O,WPT,L,AF, , ,265.96,,,,,,,ATA,,,,,,N43-16-04.03,E076-47-01.72,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS05L,,,
UAAA,DME17,B, ,APPTRN,05L,7000,----, , ,CI, , ,81.04,,,,,,,IMA,,,,,,,,N43-22-23.63,E077-04-38.78,109.10,E05.0,ILS05L,,,
UAAA,ILS05R,B, ,APP,05R,7000,GOSLU,WPT, ,IF, , ,,,5180,,,,, , ,,,,,N43-14-13.10,E076-48-29.79,,,,,ILS05R,,,
UAAA,ILS05R,B, ,APP,05R,7000,DITLO,WPT, ,CF, , ,50.98,,4190,,4190,2.00,,ILM,,-2.99,,,,N43-17-07.99,E076-54-21.03,N43-22-07.17,E077-04-22.09,110.30,E05.0,ILS05R,,,
UAAA,ILS05R,B, ,APP,05R,7000,RW05R,RWY, ,CF,Y,Y,50.98,,2280,,,5.90,,ILM,,-2.99,,,,N43-20-28.45,E077-01-02.87,N43-22-07.17,E077-04-22.09,110.30,E05.0,ILS05R,,,
UAAA,ILS05R,B, ,APP,05R,7000,RW05R,RWY, ,FD, ,Y,50.98,,2630A,,, ,,ATA,,,,,,N43-20-28.45,E077-01-02.87,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS05R,,,
UAAA,ILS05R,B, ,APP,05R,7000,----, , ,CA, , ,50.98,,3210A,,,,, , ,,,,,,,,,,,ILS05R,,,
UAAA,ILS05R,B, ,APP,05R,7000,----, ,L,VM, , ,248.99,,5180,,,,, , ,,243,,,,,,,,,ILS05R,,,
UAAA,DME17,B, ,APPTRN,05R,7000,DME17,WPT, ,IF, , ,,,FL070 ,,,,, , ,,,,,N43-22-46.26,E076-41-12.64,,,,,ILS05R,,,
UAAA,DME17,B, ,APPTRN,05R,7000,----, , ,CI, , ,85.96,,,,,,, , ,,,,,,,,,,,ILS05R,,,
UAAA,DME17,B, ,APPTRN,05R,7000,D239O,WPT,L,AF, , ,265.96,,,,,,,ATA,,,,,,N43-16-04.03,E076-47-01.72,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS05R,,,
UAAA,DME17,B, ,APPTRN,05R,7000,----, , ,CI, , ,81.04,,,,,,,ILM,,,,,,,,N43-22-07.17,E077-04-22.09,110.30,E05.0,ILS05R,,,
UAAA,ILS23L,B, ,APP,23L,7000,LEGLA,WPT, ,IF, , ,,,5180,,,,, , ,,,,,N43-28-25.53,E077-16-54.33,,,,,ILS23L,,,
UAAA,ILS23L,B, ,APP,23L,7000,SUGUM,WPT, ,CF, , ,230.98,,4200,,4200,5.40,,IAL,,-2.72,,,,N43-25-31.03,E077-11-15.99,N43-20-16.09,E077-00-38.00,108.10,E05.0,ILS23L,,,
UAAA,ILS23L,B, ,APP,23L,7000,RW23L,RWY, ,CF,Y,Y,230.98,,2290,,,6.40,,IAL,,-2.72,,,,N43-21-48.56,E077-03-44.47,N43-20-16.09,E077-00-38.00,108.10,E05.0,ILS23L,,,
UAAA,ILS23L,B, ,APP,23L,7000,RW23L,RWY, ,FA, , ,230.98,,3220A,,,,,ATA,,,,,,N43-21-48.56,E077-03-44.47,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS23L,,,
UAAA,ILS23L,B, ,APP,23L,7000,----, ,R,VM, , ,39.99,,5180,,,,, , ,,243,,,,,,,,,ILS23L,,,
UAAA,DME14,B, ,APPTRN,23L,7000,DME14,WPT, ,IF, , ,,,5180,,,,, , ,,,,,N43-35-41.36,E077-09-37.11,,,,,ILS23L,,,
UAAA,DME14,B, ,APPTRN,23L,7000,----, , ,CI, , ,188.96,,,,,,, , ,,,,,,,,,,,ILS23L,,,
UAAA,DME14,B, ,APPTRN,23L,7000,D039J,WPT,R,AF, , ,8.96,,,,,,,ATA,,,,,,N43-30-05.34,E077-14-53.44,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS23L,,,
UAAA,DME14,B, ,APPTRN,23L,7000,----, , ,CI, , ,201.01,,,,,,,IAL,,,,,,,,N43-20-16.09,E077-00-38.00,108.10,E05.0,ILS23L,,,
UAAA,DM10A,B, ,APPTRN,23L,7000,DM10A,WPT, ,IF, , ,,,5180,,,,, , ,,,,,N43-31-55.49,E077-09-49.01,,,,,ILS23L,,,
UAAA,DM10A,B, ,APPTRN,23L,7000,----, , ,CI, , ,77.96,,,,,,, , ,,,,,,,,,,,ILS23L,,,
UAAA,DM10A,B, ,APPTRN,23L,7000,D039J,WPT,R,AF, , ,15.03,,,,,,,ATA,,,,,,N43-30-05.34,E077-14-53.44,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS23L,,,
UAAA,DM10A,B, ,APPTRN,23L,7000,----, , ,CI, , ,201.01,,,,,,,IAL,,,,,,,,N43-20-16.09,E077-00-38.00,108.10,E05.0,ILS23L,,,
UAAA,DM14A,B, ,APPTRN,23L,7000,DM14A,WPT, ,IF, , ,,,FL070 ,,,,, , ,,,,,N43-35-05.52,E076-58-04.89,,,,,ILS23L,,,
UAAA,DM14A,B, ,APPTRN,23L,7000,----, , ,CI, , ,153.02,,,,,,, , ,,,,,,,,,,,ILS23L,,,
UAAA,DM14A,B, ,APPTRN,23L,7000,D039J,WPT,R,AF, , ,333.02,,,,,,,ATA,,,,,,N43-30-05.34,E077-14-53.44,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS23L,,,
UAAA,DM14A,B, ,APPTRN,23L,7000,----, , ,CI, , ,201.01,,,,,,,IAL,,,,,,,,N43-20-16.09,E077-00-38.00,108.10,E05.0,ILS23L,,,
UAAA,ILS23R,B, ,APP,23R,7000,LEGLA,WPT, ,IF, , ,,,5180,,,,, , ,,,,,N43-28-25.53,E077-16-54.33,,,,,ILS23R,,,
UAAA,ILS23R,B, ,APP,23R,7000,ODLUR,WPT, ,CF, , ,230.98,,4190,,4190,5.10,,IAA,,-2.99,,,,N43-25-31.03,E077-10-58.99,N43-20-37.57,E077-01-04.80,111.30,E05.0,ILS23R,,,
UAAA,ILS23R,B, ,APP,23R,7000,RW23R,RWY, ,CF,Y,Y,230.98,,2280,,,6.40,,IAA,,-2.99,,,,N43-22-12.35,E077-04-15.99,N43-20-37.57,E077-01-04.80,111.30,E05.0,ILS23R,,,
UAAA,ILS23R,B, ,APP,23R,7000,RW23R,RWY, ,FA, , ,230.98,,3210A,,,,,ATA,,,,,,N43-22-12.35,E077-04-15.99,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS23R,,,
UAAA,ILS23R,B, ,APP,23R,7000,----, ,R,VM, , ,39.99,,5180,,,,, , ,,243,,,,,,,,,ILS23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,ATA,VOR, ,IF, , ,,,FL100 ,,,,, , ,,,,,N43-22-35.52,E077-05-02.80,,,,,ILS23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,----, , ,CI, , ,309.99,,,,,,, , ,,,,,,,,,,,ILS23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,D017I,WPT, ,CF, , ,39.99,,5180,,,9.00,,ATA,,,,,,N43-31-05.97,E077-09-45.99,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,----, , ,CI, , ,39.99,,,,,,, , ,,,,,,,,,,,ILS23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,D039J,WPT,R,AF, , ,16.96,,,,,,,ATA,,,,,,N43-30-05.34,E077-14-53.44,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,----, , ,CI, , ,201.01,,,,,,,IAA,,,,,,,,N43-20-37.57,E077-01-04.80,111.30,E05.0,ILS23R,,,
UAAA,DME14,B, ,APPTRN,23R,7000,DME14,WPT, ,IF, , ,,,5180,,,,, , ,,,,,N43-35-41.36,E077-09-37.11,,,,,ILS23R,,,
UAAA,DME14,B, ,APPTRN,23R,7000,----, , ,CI, , ,188.96,,,,,,, , ,,,,,,,,,,,ILS23R,,,
UAAA,DME14,B, ,APPTRN,23R,7000,D039J,WPT,R,AF, , ,8.96,,,,,,,ATA,,,,,,N43-30-05.34,E077-14-53.44,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS23R,,,
UAAA,DME14,B, ,APPTRN,23R,7000,----, , ,CI, , ,201.01,,,,,,,IAA,,,,,,,,N43-20-37.57,E077-01-04.80,111.30,E05.0,ILS23R,,,
UAAA,DM10A,B, ,APPTRN,23R,7000,DM10A,WPT, ,IF, , ,,,5180,,,,, , ,,,,,N43-31-55.49,E077-09-49.01,,,,,ILS23R,,,
UAAA,DM10A,B, ,APPTRN,23R,7000,----, , ,CI, , ,77.96,,,,,,, , ,,,,,,,,,,,ILS23R,,,
UAAA,DM10A,B, ,APPTRN,23R,7000,D039J,WPT,R,AF, , ,16.00,,,,,,,ATA,,,,,,N43-30-05.34,E077-14-53.44,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS23R,,,
UAAA,DM10A,B, ,APPTRN,23R,7000,----, , ,CI, , ,201.01,,,,,,,IAA,,,,,,,,N43-20-37.57,E077-01-04.80,111.30,E05.0,ILS23R,,,
UAAA,DM14A,B, ,APPTRN,23R,7000,DM14A,WPT, ,IF, , ,,,FL070 ,,,,, , ,,,,,N43-35-05.52,E076-58-04.89,,,,,ILS23R,,,
UAAA,DM14A,B, ,APPTRN,23R,7000,----, , ,CI, , ,153.02,,,,,,, , ,,,,,,,,,,,ILS23R,,,
UAAA,DM14A,B, ,APPTRN,23R,7000,D039J,WPT,R,AF, , ,333.02,,,,,,,ATA,,,,,,N43-30-05.34,E077-14-53.44,N43-22-35.52,E077-05-02.80,116.40,E05.0,ILS23R,,,
UAAA,DM14A,B, ,APPTRN,23R,7000,----, , ,CI, , ,201.01,,,,,,,IAA,,,,,,,,N43-20-37.57,E077-01-04.80,111.30,E05.0,ILS23R,,,
UAAA,VOR05L,B, ,APP,05L,7000,CD05L,WPT, ,IF, , ,,,4190,,,,, , ,,,,,N43-16-55.25,E076-53-41.94,,,,,VOR05L,,,
UAAA,VOR05L,B, ,APP,05L,7000,LIKRU,WPT, ,TF, , ,,,4190,,,,,ATA,,,,,,N43-17-31.01,E076-54-48.99,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR05L,,,
UAAA,VOR05L,B, ,APP,05L,7000,MD05L,WPT, ,TF,Y,Y,,,2490,,,,,ATA,,-2.99,,,,N43-20-27.91,E077-00-50.44,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR05L,,,
UAAA,VOR05L,B, ,APP,05L,7000,ATA,VOR, ,CF, , ,50.98,,,,,1.00,,ATA,,,,,,N43-22-35.52,E077-05-02.80,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR05L,,,
UAAA,VOR05L,B, ,APP,05L,7000,----, , ,CA, , ,50.98,,3210A,,,,, , ,,,,,,,,,,,VOR05L,,,
UAAA,VOR05L,B, ,APP,05L,7000,----, ,L,VM, , ,248.99,,5180A,,,,, , ,,240,,,,,,,,,VOR05L,,,
UAAA,ATA,B, ,APPTRN,05L,7000,ATA,VOR, ,IF, , ,,,FL100 ,,,,, , ,,,,,N43-22-35.52,E077-05-02.80,,,,,VOR05L,,,
UAAA,ATA,B, ,APPTRN,05L,7000,D253N,WPT, ,TF, , ,,,5180,,,,, , ,,,,,N43-19-51.99,E076-47-45.99,,,,,VOR05L,,,
UAAA,ATA,B, ,APPTRN,05L,7000,----, , ,CI, , ,253.04,,,,,,, , ,,,,,,,,,,,VOR05L,,,
UAAA,ATA,B, ,APPTRN,05L,7000,D239O,WPT,L,AF, , ,253.04,,,,,,,ATA,,,,,,N43-16-04.03,E076-47-01.72,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR05L,,,
UAAA,ATA,B, ,APPTRN,05L,7000,----, , ,CI, , ,81.04,,,,,,, , ,,,,,,,,,,,VOR05L,,,
UAAA,ATA,B, ,APPTRN,05L,7000,CD05L,WPT, ,CF, , ,50.98,,4190,,,2.00,,ATA,,,,,,N43-16-55.25,E076-53-41.94,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR05L,,,
UAAA,D266Q,B, ,APPTRN,05L,7000,D266Q,WPT, ,IF, , ,,,FL070 ,,,,, , ,,,,,N43-22-47.80,E076-41-20.91,,,,,VOR05L,,,
UAAA,D266Q,B, ,APPTRN,05L,7000,----, , ,CI, , ,85.96,,,,,,, , ,,,,,,,,,,,VOR05L,,,
UAAA,D266Q,B, ,APPTRN,05L,7000,D239O,WPT,L,AF, , ,265.96,,,,,,,ATA,,,,,,N43-16-04.03,E076-47-01.72,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR05L,,,
UAAA,D266Q,B, ,APPTRN,05L,7000,----, , ,CI, , ,81.04,,,,,,, , ,,,,,,,,,,,VOR05L,,,
UAAA,D266Q,B, ,APPTRN,05L,7000,CD05L,WPT, ,CF, , ,50.98,,4190,,,2.00,,ATA,,,,,,N43-16-55.25,E076-53-41.94,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR05L,,,
UAAA,GOSLU,B, ,APPTRN,05L,7000,GOSLU,WPT, ,IF, , ,,,5180,,,,, , ,,,,,N43-14-13.10,E076-48-29.79,,,,,VOR05L,,,
UAAA,GOSLU,B, ,APPTRN,05L,7000,CD05L,WPT, ,TF, , ,,,4190,,,,, , ,,,,,N43-16-55.25,E076-53-41.94,,,,,VOR05L,,,
UAAA,VOR23R,B, ,APP,23R,7000,CD23R,WPT, ,IF, , ,,,4190,,,,, , ,,,,,N43-26-03.86,E077-12-06.58,,,,,VOR23R,,,
UAAA,VOR23R,B, ,APP,23R,7000,ODLUR,WPT, ,TF, , ,,,4190,,,,,ATA,,,,,,N43-25-31.03,E077-10-58.99,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR23R,,,
UAAA,VOR23R,B, ,APP,23R,7000,ATA,VOR, ,TF,Y,Y,,,2490,,,,,ATA,,-2.99,,,,N43-22-35.52,E077-05-02.80,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR23R,,,
UAAA,VOR23R,B, ,APP,23R,7000,----, , ,CA, , ,230.98,,3210A,,,,, , ,,,,,,,,,,,VOR23R,,,
UAAA,VOR23R,B, ,APP,23R,7000,----, ,R,VM, , ,39.99,,5180,,,,, , ,,216,,,,,,,,,VOR23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,ATA,VOR, ,IF, , ,,,FL100 ,,,,, , ,,,,,N43-22-35.52,E077-05-02.80,,,,,VOR23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,----, , ,CI, , ,309.99,,,,,,, , ,,,,,,,,,,,VOR23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,D017I,WPT, ,CF, , ,39.99,,5180,,,9.00,,ATA,,,,,,N43-31-05.97,E077-09-45.99,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,----, , ,CI, , ,39.02,,,,,,, , ,,,,,,,,,,,VOR23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,D039J,WPT,R,AF, , ,16.96,,,,,,,ATA,,,,,,N43-30-05.34,E077-14-53.44,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,----, , ,CI, , ,201.01,,,,,,, , ,,,,,,,,,,,VOR23R,,,
UAAA,ATA,B, ,APPTRN,23R,7000,CD23R,WPT, ,CF, , ,230.98,,4190,,,2.00,,ATA,,,,,,N43-26-03.86,E077-12-06.58,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR23R,,,
UAAA,DME14,B, ,APPTRN,23R,7000,DME14,WPT, ,IF, , ,,,5180,,,,, , ,,,,,N43-35-41.36,E077-09-37.11,,,,,VOR23R,,,
UAAA,DME14,B, ,APPTRN,23R,7000,----, , ,CI, , ,188.96,,,,,,, , ,,,,,,,,,,,VOR23R,,,
UAAA,DME14,B, ,APPTRN,23R,7000,D039J,WPT,R,AF, , ,8.96,,,,,,,ATA,,,,,,N43-30-05.34,E077-14-53.44,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR23R,,,
UAAA,DME14,B, ,APPTRN,23R,7000,----, , ,CI, , ,201.01,,,,,,, , ,,,,,,,,,,,VOR23R,,,
UAAA,DME14,B, ,APPTRN,23R,7000,CD23R,WPT, ,CF, , ,230.98,,4190,,,2.00,,ATA,,,,,,N43-26-03.86,E077-12-06.58,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR23R,,,
UAAA,DM10A,B, ,APPTRN,23R,7000,DM10A,WPT, ,IF, , ,,,5180,,,,, , ,,,,,N43-31-55.49,E077-09-49.01,,,,,VOR23R,,,
UAAA,DM10A,B, ,APPTRN,23R,7000,----, , ,CI, , ,77.96,,,,,,, , ,,,,,,,,,,,VOR23R,,,
UAAA,DM10A,B, ,APPTRN,23R,7000,D039J,WPT,R,AF, , ,15.03,,,,,,,ATA,,,,,,N43-30-05.34,E077-14-53.44,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR23R,,,
UAAA,DM10A,B, ,APPTRN,23R,7000,----, , ,CI, , ,201.01,,,,,,, , ,,,,,,,,,,,VOR23R,,,
UAAA,DM10A,B, ,APPTRN,23R,7000,CD23R,WPT, ,CF, , ,231.94,,4190,,,2.00,,ATA,,,,,,N43-26-03.86,E077-12-06.58,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR23R,,,
UAAA,DM14A,B, ,APPTRN,23R,7000,DM14A,WPT, ,IF, , ,,,FL070 ,,,,, , ,,,,,N43-35-05.52,E076-58-04.89,,,,,VOR23R,,,
UAAA,DM14A,B, ,APPTRN,23R,7000,----, , ,CI, , ,153.02,,,,,,, , ,,,,,,,,,,,VOR23R,,,
UAAA,DM14A,B, ,APPTRN,23R,7000,D039J,WPT,R,AF, , ,333.02,,,,,,,ATA,,,,,,N43-30-05.34,E077-14-53.44,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR23R,,,
UAAA,DM14A,B, ,APPTRN,23R,7000,----, , ,CI, , ,201.01,,,,,,, , ,,,,,,,,,,,VOR23R,,,
UAAA,DM14A,B, ,APPTRN,23R,7000,CD23R,WPT, ,CF, , ,230.98,,4190,,,2.00,,ATA,,,,,,N43-26-03.86,E077-12-06.58,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR23R,,,
UAAA,LEGLA,B, ,APPTRN,23R,7000,LEGLA,WPT, ,IF, , ,,,5180,,,,, , ,,,,,N43-28-25.53,E077-16-54.33,,,,,VOR23R,,,
UAAA,LEGLA,B, ,APPTRN,23R,7000,CD23R,WPT, ,TF, , ,,,4190,,,,,ATA,,,,,,N43-26-03.86,E077-12-06.58,N43-22-35.52,E077-05-02.80,116.40,E05.0,VOR23R,,,
UBBB,AGDA1C,B, ,SIDCR,17,9000,BB100,WPT, ,CF, ,Y,172.97,,1000A,,,4.50,,BAK,,,,,,N40-22-58.01,E050-03-51.98,N40-25-14.82,E050-03-50.28,115.00,E06.0,AGDA1C,,,
UBBB,AGDA1C,B, ,SIDCR,17,9000,BB101,WPT, ,TF, , ,,,,,,,, , ,,,,,N40-17-00.97,E049-59-23.01,,,,,AGDA1C,,,
UBBB,AGDA1C,B, ,SIDCR,17,9000,BB103,WPT, ,TF, , ,,,8000,,,,, , ,,,,,N40-16-38.03,E049-42-31.99,,,,,AGDA1C,,,
UBBB,AGDA1C,B, ,SIDCR,17,9000,BB105,WPT, ,TF, , ,,,FL110A,,,,, , ,,,,,N40-16-13.00,E049-26-19.98,,,,,AGDA1C,,,
