*******************************************************************************
Database: 11702002
Sequence: CG5-1702-002
File size: 179712
Database effective from 02 FEB 2017 to 02 MAR 2017
Report compiled on Monday Dec 25 2023
OneNav+ Version: 1.18.0
*******************************************************************************
HONEYWELL PROPRIETARY AND CONFIDENTIAL
COPYRIGHT © 2011-2023
HONEYWELL INTERNATIONAL INC.
UNPUBLISHED WORK. ALL RIGHTS RESERVED 
*******************************************************************************
Summary
-------------------------
Table Name,Record Count
Airports,97
Airways,2135
Airway Legs,17205
Alternates,0
Company Routes,0
Company Route Legs,0
FuelPolicy,8
Airline Policy,0
HoldingPatterns,0
Gates,0
GridMORA,0
Navaids,1131
NDBs,264
Procedures ,5146
Procedure Legs,21583
Runways,286
Waypoints,9082

Airports
-------------------------
Ident,RevCode,Latitude,Longitude,MagVar,Elevation,SpeedLimitCoded,SpeedLimit,SpeedLimitAltitude,TransAltitude,ProceduresExist,RunwaysExist,GatesExist,AlternatesExist,ICAO,MaxRunwayLength,SIDs,STARs,Approaches,EOSIDs
A121,B,BOMKA,WPT,N42-02-32.03,E069-16-23.98,,
A121,B,DOSOR,WPT,N41-57-02.03,E069-12-24.97,,
A121,B,REBDA,WPT,N41-47-08.00,E069-05-15.01,,
A121,B,DODUR,WPT,N41-23-00.00,E068-48-00.00,,
A121,B,OGRIP,WPT,N40-54-53.98,E068-05-00.00,,
A121,B,IDSAN,WPT,N40-22-18.00,E067-17-30.00,,
A121,B,OGNOB,WPT,N39-44-36.03,E066-24-17.98,,
A121,B,*EOA*, ,,,,
A122,B,BODSI,WPT,N44-50-34.01,E054-19-13.97,,
A122,B,ANIGA,WPT,N45-21-30.04,E053-46-47.02,,
A122,B,GOLGI,WPT,N45-31-53.04,E053-35-43.00,,
A122,B,OTMAS,WPT,N46-04-18.98,E053-00-33.99,,
A122,B,RENPI,WPT,N46-34-37.00,E052-26-55.97,,
A122,B,ATR,VOR,N47-08-38.20,E051-48-05.41,,
A122,B,OLAPU,WPT,N47-51-45.99,E051-45-30.99,,
A122,B,BAGIR,WPT,N49-01-31.04,E051-41-06.03,,
A122,B,*EOA*, ,,,,
A123,B,MIKNO,WPT,N42-02-00.00,E068-12-00.00,,
A123,B,KARIM,WPT,N43-11-35.98,E067-47-36.98,,
A123,B,*EOA*, ,,,,
A125,B,ASB,VOR,N38-00-11.41,E058-20-08.31,,
A125,B,KEMOR,WPT,N37-53-29.02,E059-21-00.00,,
A125,B,BELUG,WPT,N37-45-00.04,E060-32-00.02,,
A125,B,TELMI,WPT,N37-37-00.02,E061-38-00.04,,
A125,B,UTAM,WPT,N37-37-18.02,E061-53-48.02,,
